kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag
4056616,K02013.01,Kepler-1053 b,CONFIRMED,NOT DISPOSITIONED,,0,0,0,0,2.414351654,132.428855,0.2844,1.2248,202.9,0.78,803,98.31,43.6,1,q1_q12_tce,4182,4.696,0.542,291.41864,39.127419,13.156
6707908,K02014.01,,NOT DISPOSITIONED,NOT DISPOSITIONED,,0,0,0,0,2.466073106,132.32043,1.5518,2.0009,749.1,55.66,1260,595.8,42.6,1,q1_q12_tce,5708,4.529,0.884,296.05042,42.113239,15.601
11298815,K02015.01,,NOT DISPOSITIONED,NOT DISPOSITIONED,,0,0,0,0,5.73865035,136.91887,0.9652,3.802,668.4,1.82,536,19.55,38.4,1,q1_q12_tce,3848,4.756,0.51,292.8053,49.040459,15.51
8492026,K02016.01,Kepler-1054 b,CONFIRMED,NOT DISPOSITIONED,,0,0,0,0,4.30655689,132.44215,0.8863,4.0697,273.8,1.99,1177,453.2,39.8,1,q1_q12_tce,6108,4.466,1.03,290.60114,44.556381,14.136
8750043,K02017.01,Kepler-1055 b,CONFIRMED,NOT DISPOSITIONED,,0,0,0,0,2.295036233,132.69278,0.1299,1.6459,170.7,1.09,1290,653.8,42.3,1,q1_q12_tce,5750,4.524,0.835,290.48676,44.932621,13.09
12301181,K02059.02,,CANDIDATE,CANDIDATE,,0,0,0,0,2.18565946,132.45014,0.7499,2.082,38.8,0.51,1086,329.23,12.5,2,q1_q12_tce,4996,4.598,0.746,287.59009,51.06057,12.906
9279354,K02060.01,Kepler-1788 b,CONFIRMED,NOT DISPOSITIONED,,0,0,0,0,2.800118124,132.046786,0.0237,0.9654,813.8,1.97,956,197.81,35,1,q1_q12_tce,4786,4.579,0.704,291.22433,45.778091,15.229
12061969,K02061.01,Kepler-2001 c,CONFIRMED,NOT DISPOSITIONED,,0,0,0,0,14.0926796,141.14027,0.4802,5.615,535.6,1.82,604,31.44,18.1,1,q1_q12_tce,5093,4.582,0.784,291.65952,50.583881,15.753
12061969,K02061.02,Kepler-2001 b,CONFIRMED,CANDIDATE,,0,0,0,0,1.090013327,131.58311,0.2706,1.704,179.6,1.03,1417,953.68,12.4,2,q1_q12_tce,5093,4.582,0.784,291.65952,50.583881,15.753
6774880,K02062.01,Kepler-1077 b,CONFIRMED,NOT DISPOSITIONED,,0,0,0,0,34.3511874,134.18978,0.7297,4.222,643.4,2.64,576,26.1,28,1,q1_q12_tce,6091,4.487,0.967,291.03363,42.26786,14.998
